1,안지랑역 2번출구,대구광역시 남구 대명로 232-2 (대명동),대구광역시 남구 대명동 1291,35.839076,128.573687,12,거치형,N,N,,053-664-3007,대구광역시 남구청
2,서부정류장역 3번출구,,대구광역시 남구 대명동 1135-17,35.837044,128.557307,26,,Y,Y,태양광식,053-664-3007,대구광역시 남구청
3,서부정류장역 3번출구 동남편,대구광역시 남구 월배로 496,,35.8367855,128.5577515,42,,Y,Y,태양광식,053-664-3007,대구광역시 남구청
4,대명역 3번출구,대구광역시 남구 대명로 70,,35.8389521,128.5653048,10,,N,N,,053-664-3007,대구광역시 남구청
5,현충로역 4번출구,,대구광역시 남구 대명동 1684-3,35.841139,128.581123,14,,N,Y,태양광식,053-664-3007,대구광역시 남구청
6,현충로역 3번출구,대구광역시 남구 대명로220,대구광역시 남구 대명동 336-1,35.8405658,128.5812962,21,,N,Y,태양광식,053-664-3007,대구광역시 남구청
7,현충로역 2번출구,대구광역시 남구 대명로 214,,35.840315,128.5808162,14,,N,N,,053-664-3007,대구광역시 남구청
8,현충로역 1번출구,대구광역시 남구 대명로 213,,35.8407324,128.5804107,14,,N,Y,태양광식,053-664-3007,대구광역시 남구청
9,영대병원역 2번출구,,대구광역시 남구 대명동 148-29,35.844325,128.588708,42,거치형,N,Y,태양광식,053-664-3007,대구광역시 남구청
10,영대병원역 3번출구,대구광역시 남구 대명로 299-1,,35.844766,128.588744,14,휀스형,N,Y,태양광식,053-664-3007,대구광역시 남구청
11,대명역 4번출구,,대구광역시 남구 대명동 1623-60,35.839566,128.565496,14,휀스형,N,Y,태양광식,053-664-3007,대구광역시 남구청
12,안지랑역 4번출구,,대구광역시 남구 대명동 809-1,35.839513,128.574512,14,휀스형,N,N,,053-664-3007,대구광역시 남구청
13,안지랑역 1번출구,대구광역시 남구 대명로 145,,35.8396648,128.5737281,14,,N,N,,053-664-3007,대구광역시 남구청
14,안지랑역 3번출구,대구광역시 남구 대명로 154,,35.838936,128.5744147,14,,N,N,,053-664-3007,대구광역시 남구청
15,교대역 1번출구,대구광역시 남구 중앙대로 195,,35.850754,128.5903344,13,거치형,N,N,,053-664-3007,대구광역시 남구청
16,교대역 2번출구,,대구광역시 남구 대명동 2010-6,35.850739,128.590777,5,거치형,N,N,,053-664-3007,대구광역시 남구청
17,교대역 3번출구,,대구광역시 남구 대명동 2009-10,35.851167,128.590785,27,거치형,N,Y,태양광식,053-664-3007,대구광역시 남구청
18,대구교대 입구 우측편,대구광역시 남구 중앙대로 221,,35.853071,128.590341,5,거치형,N,N,,053-664-3007,대구광역시 남구청
19,대구교대 입구 좌측편,대구광역시 남구 중앙대로 213,,35.8524011,128.590379,4,,N,N,,053-664-3007,대구광역시 남구청
20,새마을금고 대명3동지점 앞,대구광역시 남구 명덕로 54,,35.8587641,128.5766802,14,휀스형,N,N,,053-664-3007,대구광역시 남구청
21,명덕네거리 배달한의원 앞,대구광역시 남구 명덕로 212,,35.856501,128.5932107,14,휀스형,N,N,,053-664-3007,대구광역시 남구청
22,성당네거리 성주막창 앞,대구광역시 남구 성당로 2,,35.8383292,128.5583832,14,휀스형,N,Y,태양광식,053-664-3007,대구광역시 남구청
23,국민은행 봉덕동지점 앞,대구광역시 남구 봉덕로 69,,35.845134,128.5987106,10,휀스형,N,N,,053-664-3007,대구광역시 남구청
24,대명3동 행정복지센터,대구광역시 남구 명덕로20길 115,,35.8523781,128.5791382,7,휀스형,N,Y,태양광식,053-664-3007,대구광역시 남구청
